Order_ID,Product_ID,Order_Date,Quantity_Ordered,Order_Region,Product_Name,Category,Unit_Cost,Unit_Price,Invoice_ID,Invoice_Amount,Invoice_Date,Payment_Status,Return_Date,Return_Reason,Expected_Revenue,Total_Cost,Expected_Profit,Revenue_Leak,Payment_Issue,Is_Returned
O00001,P0014,2023-01-01,4,East,Product_14,Books,349.65,453.93,I00069,3750.92,2023-03-14,Paid,2023-03-15,Damaged,1815.72,1398.6,417.1200000000001,-1935.2,False,True
O00003,P0005,2023-01-03,1,South,Product_5,Home & Kitchen,404.79,639.15,I00021,1925.45,2023-01-25,Overdue,2023-03-07,Late Delivery,639.15,404.79,234.35999999999996,-1286.3000000000002,True,True
O00004,P0010,2023-01-04,7,North,Product_10,Clothing,387.87,338.09,I00059,2940.89,2023-03-04,Paid,2023-03-17,Damaged,2366.6299999999997,2715.09,-348.4600000000005,-574.2600000000002,False,True
O00011,P0014,2023-01-11,5,West,Product_14,Books,349.65,453.93,I00020,3605.83,2023-01-24,Overdue,,,2269.65,1748.25,521.4000000000001,-1336.1799999999998,True,False
O00012,P0008,2023-01-12,8,North,Product_8,Home & Kitchen,147.49,260.15,I00083,3129.49,2023-03-28,Unpaid,,,2081.2,1179.92,901.2799999999997,-1048.29,True,False
O00018,P0017,2023-01-18,3,West,Product_17,Books,31.48,255.91,I00006,3293.47,2023-01-10,Overdue,,,767.73,94.44,673.29,-2525.74,True,False
O00019,P0015,2023-01-19,5,North,Product_15,Home & Kitchen,240.46,521.68,I00084,4324.08,2023-03-29,Paid,,,2608.3999999999996,1202.3,1406.0999999999997,-1715.6800000000003,False,False
O00022,P0013,2023-01-22,6,West,Product_13,Home & Kitchen,381.5,32.19,I00057,774.83,2023-03-02,Unpaid,2023-03-16,Damaged,193.14,2289.0,-2095.86,-581.69,True,True
O00027,P0003,2023-01-27,1,East,Product_3,Electronics,53.3,235.93,I00049,3541.31,2023-02-22,Overdue,,,235.93,53.3,182.63,-3305.38,True,False
O00030,P0010,2023-01-30,3,West,Product_10,Clothing,387.87,338.09,I00081,2200.64,2023-03-26,Unpaid,2023-03-18,Incorrect Item,1014.27,1163.6100000000001,-149.34000000000015,-1186.37,True,True
O00031,P0017,2023-01-31,5,South,Product_17,Books,31.48,255.91,I00061,4923.44,2023-03-06,Unpaid,2023-03-02,Incorrect Item,1279.55,157.4,1122.1499999999999,-3643.8899999999994,True,True
O00034,P0012,2023-02-03,4,North,Product_12,Clothing,269.86,556.54,I00003,4007.24,2023-01-07,Paid,,,2226.16,1079.44,1146.7199999999998,-1781.08,False,False
O00035,P0010,2023-02-04,4,West,Product_10,Clothing,387.87,338.09,I00040,1616.55,2023-02-13,Paid,,,1352.36,1551.48,-199.12000000000012,-264.19000000000005,False,False
O00036,P0019,2023-02-05,2,South,Product_19,Electronics,387.96,760.44,I00026,2812.61,2023-01-30,Overdue,,,1520.88,775.92,744.9600000000002,-1291.73,True,False
O00037,P0002,2023-02-06,8,North,Product_2,Home & Kitchen,35.27,100.28,I00007,917.36,2023-01-11,Unpaid,,,802.24,282.16,520.0799999999999,-115.12,True,False
O00039,P0004,2023-02-08,6,South,Product_4,Electronics,288.66,231.75,I00030,3081.13,2023-02-03,Paid,,,1390.5,1731.96,-341.46000000000004,-1690.63,False,False
O00040,P0017,2023-02-09,4,West,Product_17,Books,31.48,255.91,I00012,4372.35,2023-01-16,Paid,,,1023.64,125.92,897.72,-3348.7100000000005,False,False
O00045,P0005,2023-02-14,1,East,Product_5,Home & Kitchen,404.79,639.15,I00018,1075.12,2023-01-22,Overdue,,,639.15,404.79,234.35999999999996,-435.9699999999999,True,False
O00046,P0017,2023-02-15,2,South,Product_17,Books,31.48,255.91,I00047,823.14,2023-02-20,Unpaid,,,511.82,62.96,448.86,-311.32,True,False
O00047,P0010,2023-02-16,1,North,Product_10,Clothing,387.87,338.09,I00029,1513.27,2023-02-02,Overdue,,,338.09,387.87,-49.78000000000003,-1175.18,True,False
O00048,P0007,2023-02-17,3,South,Product_7,Electronics,49.96,330.84,I00065,1881.32,2023-03-10,Unpaid,,,992.52,149.88,842.64,-888.8,True,False
O00049,P0009,2023-02-18,1,South,Product_9,Home & Kitchen,385.42,733.37,I00037,878.91,2023-02-10,Overdue,,,733.37,385.42,347.95,-145.53999999999996,True,False
O00051,P0004,2023-02-20,1,South,Product_4,Electronics,288.66,231.75,I00086,3620.83,2023-03-31,Overdue,,,231.75,288.66,-56.910000000000025,-3389.08,True,False
O00052,P0020,2023-02-21,2,South,Product_20,Home & Kitchen,126.04,750.05,I00015,3737.27,2023-01-19,Paid,,,1500.1,252.08,1248.02,-2237.17,False,False
O00054,P0005,2023-02-23,2,East,Product_5,Home & Kitchen,404.79,639.15,I00042,2621.09,2023-02-15,Overdue,,,1278.3,809.58,468.7199999999999,-1342.7900000000002,True,False
O00055,P0008,2023-02-24,5,North,Product_8,Home & Kitchen,147.49,260.15,I00033,2613.1,2023-02-06,Paid,,,1300.75,737.45,563.3,-1312.35,False,False
O00058,P0001,2023-02-27,4,North,Product_1,Home & Kitchen,276.04,306.6,I00071,2744.56,2023-03-16,Paid,,,1226.4,1104.16,122.24000000000001,-1518.1599999999999,False,False
O00059,P0019,2023-02-28,1,South,Product_19,Electronics,387.96,760.44,I00055,3631.14,2023-02-28,Paid,,,760.44,387.96,372.4800000000001,-2870.7,False,False
O00061,P0008,2023-03-02,6,South,Product_8,Home & Kitchen,147.49,260.15,I00068,2758.09,2023-03-13,Overdue,,,1560.8999999999999,884.94,675.9599999999998,-1197.1900000000003,True,False
O00062,P0010,2023-03-03,6,East,Product_10,Clothing,387.87,338.09,I00073,4695.85,2023-03-18,Unpaid,2023-03-19,Incorrect Item,2028.54,2327.2200000000003,-298.6800000000003,-2667.3100000000004,True,True
O00063,P0018,2023-03-04,8,East,Product_18,Books,430.62,236.88,I00024,4852.54,2023-01-28,Overdue,,,1895.04,3444.96,-1549.92,-2957.5,True,False
O00064,P0002,2023-03-05,6,South,Product_2,Home & Kitchen,35.27,100.28,I00074,4792.13,2023-03-19,Paid,,,601.6800000000001,211.62,390.06000000000006,-4190.45,False,False
O00066,P0002,2023-03-07,6,West,Product_2,Home & Kitchen,35.27,100.28,I00010,4194.61,2023-01-14,Paid,,,601.6800000000001,211.62,390.06000000000006,-3592.9299999999994,False,False
