Order_ID,Product_ID,Order_Date,Quantity_Ordered,Order_Region,Product_Name,Category,Unit_Cost,Unit_Price,Invoice_ID,Invoice_Amount,Invoice_Date,Payment_Status,Return_Date,Return_Reason,Expected_Revenue,Total_Cost,Expected_Profit,Revenue_Leak,Payment_Issue,Is_Returned
O00003,P0005,2023-01-03,1,South,Product_5,Home & Kitchen,404.79,639.15,I00021,1925.45,2023-01-25,Overdue,2023-03-07,Late Delivery,639.15,404.79,234.35999999999996,-1286.3000000000002,True,True
O00009,P0006,2023-01-09,6,South,Product_6,Electronics,8.55,351.72,I00067,749.96,2023-03-12,Unpaid,,,2110.32,51.300000000000004,2059.02,1360.3600000000001,True,False
O00011,P0014,2023-01-11,5,West,Product_14,Books,349.65,453.93,I00020,3605.83,2023-01-24,Overdue,,,2269.65,1748.25,521.4000000000001,-1336.1799999999998,True,False
O00012,P0008,2023-01-12,8,North,Product_8,Home & Kitchen,147.49,260.15,I00083,3129.49,2023-03-28,Unpaid,,,2081.2,1179.92,901.2799999999997,-1048.29,True,False
O00014,P0020,2023-01-14,2,East,Product_20,Home & Kitchen,126.04,750.05,I00077,1158.66,2023-03-22,Overdue,2023-03-10,Incorrect Item,1500.1,252.08,1248.02,341.4399999999998,True,True
O00015,P0010,2023-01-15,6,East,Product_10,Clothing,387.87,338.09,I00080,770.98,2023-03-25,Unpaid,2023-03-14,Damaged,2028.54,2327.2200000000003,-298.6800000000003,1257.56,True,True
O00018,P0017,2023-01-18,3,West,Product_17,Books,31.48,255.91,I00006,3293.47,2023-01-10,Overdue,,,767.73,94.44,673.29,-2525.74,True,False
O00020,P0005,2023-01-20,2,North,Product_5,Home & Kitchen,404.79,639.15,I00025,170.66,2023-01-29,Unpaid,,,1278.3,809.58,468.7199999999999,1107.6399999999999,True,False
O00022,P0013,2023-01-22,6,West,Product_13,Home & Kitchen,381.5,32.19,I00057,774.83,2023-03-02,Unpaid,2023-03-16,Damaged,193.14,2289.0,-2095.86,-581.69,True,True
O00024,P0008,2023-01-24,6,East,Product_8,Home & Kitchen,147.49,260.15,I00039,1242.93,2023-02-12,Unpaid,2023-03-06,Damaged,1560.8999999999999,884.94,675.9599999999998,317.9699999999998,True,True
O00025,P0011,2023-01-25,5,West,Product_11,Home & Kitchen,48.09,722.86,I00053,1853.25,2023-02-26,Unpaid,2023-03-04,Incorrect Item,3614.3,240.45000000000002,3373.8500000000004,1761.0500000000002,True,True
O00027,P0003,2023-01-27,1,East,Product_3,Electronics,53.3,235.93,I00049,3541.31,2023-02-22,Overdue,,,235.93,53.3,182.63,-3305.38,True,False
O00030,P0010,2023-01-30,3,West,Product_10,Clothing,387.87,338.09,I00081,2200.64,2023-03-26,Unpaid,2023-03-18,Incorrect Item,1014.27,1163.6100000000001,-149.34000000000015,-1186.37,True,True
O00031,P0017,2023-01-31,5,South,Product_17,Books,31.48,255.91,I00061,4923.44,2023-03-06,Unpaid,2023-03-02,Incorrect Item,1279.55,157.4,1122.1499999999999,-3643.8899999999994,True,True
O00032,P0001,2023-02-01,5,East,Product_1,Home & Kitchen,276.04,306.6,I00017,549.96,2023-01-21,Unpaid,,,1533.0,1380.2,152.79999999999995,983.04,True,False
O00033,P0009,2023-02-02,2,South,Product_9,Home & Kitchen,385.42,733.37,I00016,459.0,2023-01-20,Overdue,,,1466.74,770.84,695.9,1007.74,True,False
O00036,P0019,2023-02-05,2,South,Product_19,Electronics,387.96,760.44,I00026,2812.61,2023-01-30,Overdue,,,1520.88,775.92,744.9600000000002,-1291.73,True,False
O00037,P0002,2023-02-06,8,North,Product_2,Home & Kitchen,35.27,100.28,I00007,917.36,2023-01-11,Unpaid,,,802.24,282.16,520.0799999999999,-115.12,True,False
O00041,P0018,2023-02-10,6,South,Product_18,Books,430.62,236.88,I00036,219.38,2023-02-09,Overdue,,,1421.28,2583.7200000000003,-1162.4400000000003,1201.9,True,False
O00045,P0005,2023-02-14,1,East,Product_5,Home & Kitchen,404.79,639.15,I00018,1075.12,2023-01-22,Overdue,,,639.15,404.79,234.35999999999996,-435.9699999999999,True,False
O00046,P0017,2023-02-15,2,South,Product_17,Books,31.48,255.91,I00047,823.14,2023-02-20,Unpaid,,,511.82,62.96,448.86,-311.32,True,False
O00047,P0010,2023-02-16,1,North,Product_10,Clothing,387.87,338.09,I00029,1513.27,2023-02-02,Overdue,,,338.09,387.87,-49.78000000000003,-1175.18,True,False
O00048,P0007,2023-02-17,3,South,Product_7,Electronics,49.96,330.84,I00065,1881.32,2023-03-10,Unpaid,,,992.52,149.88,842.64,-888.8,True,False
O00049,P0009,2023-02-18,1,South,Product_9,Home & Kitchen,385.42,733.37,I00037,878.91,2023-02-10,Overdue,,,733.37,385.42,347.95,-145.53999999999996,True,False
O00050,P0012,2023-02-19,8,North,Product_12,Clothing,269.86,556.54,I00056,1842.08,2023-03-01,Unpaid,,,4452.32,2158.88,2293.4399999999996,2610.24,True,False
O00051,P0004,2023-02-20,1,South,Product_4,Electronics,288.66,231.75,I00086,3620.83,2023-03-31,Overdue,,,231.75,288.66,-56.910000000000025,-3389.08,True,False
O00053,P0007,2023-02-22,5,North,Product_7,Electronics,49.96,330.84,I00014,120.98,2023-01-18,Unpaid,,,1654.1999999999998,249.8,1404.3999999999999,1533.2199999999998,True,False
O00054,P0005,2023-02-23,2,East,Product_5,Home & Kitchen,404.79,639.15,I00042,2621.09,2023-02-15,Overdue,,,1278.3,809.58,468.7199999999999,-1342.7900000000002,True,False
O00056,P0009,2023-02-25,2,West,Product_9,Home & Kitchen,385.42,733.37,I00052,129.8,2023-02-25,Unpaid,,,1466.74,770.84,695.9,1336.94,True,False
O00057,P0018,2023-02-26,8,West,Product_18,Books,430.62,236.88,I00013,737.11,2023-01-17,Unpaid,2023-03-03,Damaged,1895.04,3444.96,-1549.92,1157.9299999999998,True,True
O00060,P0012,2023-03-01,7,South,Product_12,Clothing,269.86,556.54,I00038,1566.05,2023-02-11,Overdue,,,3895.7799999999997,1889.02,2006.7599999999998,2329.7299999999996,True,False
O00061,P0008,2023-03-02,6,South,Product_8,Home & Kitchen,147.49,260.15,I00068,2758.09,2023-03-13,Overdue,,,1560.8999999999999,884.94,675.9599999999998,-1197.1900000000003,True,False
O00062,P0010,2023-03-03,6,East,Product_10,Clothing,387.87,338.09,I00073,4695.85,2023-03-18,Unpaid,2023-03-19,Incorrect Item,2028.54,2327.2200000000003,-298.6800000000003,-2667.3100000000004,True,True
O00063,P0018,2023-03-04,8,East,Product_18,Books,430.62,236.88,I00024,4852.54,2023-01-28,Overdue,,,1895.04,3444.96,-1549.92,-2957.5,True,False
O00067,P0008,2023-03-08,9,West,Product_8,Home & Kitchen,147.49,260.15,I00062,4346.67,2023-03-07,Overdue,,,2341.35,1327.41,1013.9399999999998,-2005.3200000000002,True,False
O00070,P0011,2023-03-11,6,North,Product_11,Home & Kitchen,48.09,722.86,I00009,399.16,2023-01-13,Unpaid,,,4337.16,288.54,4048.62,3938.0,True,False
O00072,P0007,2023-03-13,9,North,Product_7,Electronics,49.96,330.84,I00089,3665.09,2023-04-03,Unpaid,,,2977.56,449.64,2527.92,-687.5300000000002,True,False
O00075,P0013,2023-03-16,4,West,Product_13,Home & Kitchen,381.5,32.19,I00060,1413.46,2023-03-05,Overdue,,,128.76,1526.0,-1397.24,-1284.7,True,False
O00077,P0014,2023-03-18,5,East,Product_14,Books,349.65,453.93,I00090,1753.87,2023-04-04,Unpaid,2023-03-13,Late Delivery,2269.65,1748.25,521.4000000000001,515.7800000000002,True,True
O00078,P0012,2023-03-19,9,West,Product_12,Clothing,269.86,556.54,I00043,1684.85,2023-02-16,Unpaid,,,5008.86,2428.7400000000002,2580.1199999999994,3324.0099999999998,True,False
O00079,P0002,2023-03-20,7,North,Product_2,Home & Kitchen,35.27,100.28,I00019,1950.25,2023-01-23,Unpaid,,,701.96,246.89000000000001,455.07000000000005,-1248.29,True,False
O00082,P0014,2023-03-23,8,North,Product_14,Books,349.65,453.93,I00004,4021.92,2023-01-08,Unpaid,,,3631.44,2797.2,834.2400000000002,-390.48,True,False
O00084,P0006,2023-03-25,5,North,Product_6,Electronics,8.55,351.72,I00045,4423.61,2023-02-18,Unpaid,2023-03-01,Incorrect Item,1758.6000000000001,42.75,1715.8500000000001,-2665.0099999999993,True,True
O00085,P0015,2023-03-26,7,East,Product_15,Home & Kitchen,240.46,521.68,I00002,687.69,2023-01-06,Overdue,,,3651.7599999999998,1683.22,1968.5399999999997,2964.0699999999997,True,False
O00086,P0009,2023-03-27,6,West,Product_9,Home & Kitchen,385.42,733.37,I00079,4550.09,2023-03-24,Unpaid,,,4400.22,2312.52,2087.7000000000003,-149.8699999999999,True,False
O00088,P0008,2023-03-29,5,North,Product_8,Home & Kitchen,147.49,260.15,I00058,3027.69,2023-03-03,Overdue,,,1300.75,737.45,563.3,-1726.94,True,False
O00089,P0006,2023-03-30,8,North,Product_6,Electronics,8.55,351.72,I00035,1387.49,2023-02-08,Overdue,,,2813.76,68.4,2745.36,1426.2700000000002,True,False
O00090,P0019,2023-03-31,4,West,Product_19,Electronics,387.96,760.44,I00066,1018.66,2023-03-11,Unpaid,,,3041.76,1551.84,1489.9200000000003,2023.1000000000004,True,False
O00091,P0009,2023-04-01,8,South,Product_9,Home & Kitchen,385.42,733.37,I00070,1549.63,2023-03-15,Overdue,,,5866.96,3083.36,2783.6,4317.33,True,False
O00093,P0020,2023-04-03,5,North,Product_20,Home & Kitchen,126.04,750.05,I00011,1776.46,2023-01-15,Overdue,2023-03-12,Late Delivery,3750.25,630.2,3120.05,1973.79,True,True
O00095,P0015,2023-04-05,4,South,Product_15,Home & Kitchen,240.46,521.68,I00027,3283.15,2023-01-31,Overdue,,,2086.72,961.84,1124.8799999999997,-1196.4300000000003,True,False
O00097,P0010,2023-04-07,5,East,Product_10,Clothing,387.87,338.09,I00076,3438.48,2023-03-21,Overdue,,,1690.4499999999998,1939.35,-248.9000000000001,-1748.0300000000002,True,False
O00098,P0013,2023-04-08,9,North,Product_13,Home & Kitchen,381.5,32.19,I00023,2054.61,2023-01-27,Unpaid,,,289.71,3433.5,-3143.79,-1764.9,True,False
