Order_ID,Product_ID,Order_Date,Quantity_Ordered,Order_Region,Product_Name,Category,Unit_Cost,Unit_Price,Invoice_ID,Invoice_Amount,Invoice_Date,Payment_Status,Return_Date,Return_Reason,Expected_Revenue,Total_Cost,Expected_Profit,Revenue_Leak,Payment_Issue,Is_Returned
O00001,P0014,2023-01-01,4,East,Product_14,Books,349.65,453.93,I00069,3750.92,2023-03-14,Paid,2023-03-15,Damaged,1815.72,1398.6,417.1200000000001,-1935.2,False,True
O00003,P0005,2023-01-03,1,South,Product_5,Home & Kitchen,404.79,639.15,I00021,1925.45,2023-01-25,Overdue,2023-03-07,Late Delivery,639.15,404.79,234.35999999999996,-1286.3000000000002,True,True
O00004,P0010,2023-01-04,7,North,Product_10,Clothing,387.87,338.09,I00059,2940.89,2023-03-04,Paid,2023-03-17,Damaged,2366.6299999999997,2715.09,-348.4600000000005,-574.2600000000002,False,True
O00014,P0020,2023-01-14,2,East,Product_20,Home & Kitchen,126.04,750.05,I00077,1158.66,2023-03-22,Overdue,2023-03-10,Incorrect Item,1500.1,252.08,1248.02,341.4399999999998,True,True
O00015,P0010,2023-01-15,6,East,Product_10,Clothing,387.87,338.09,I00080,770.98,2023-03-25,Unpaid,2023-03-14,Damaged,2028.54,2327.2200000000003,-298.6800000000003,1257.56,True,True
O00017,P0016,2023-01-17,9,West,Product_16,Electronics,315.56,728.73,,,,,2023-03-05,Late Delivery,6558.57,2840.04,3718.5299999999997,,False,True
O00022,P0013,2023-01-22,6,West,Product_13,Home & Kitchen,381.5,32.19,I00057,774.83,2023-03-02,Unpaid,2023-03-16,Damaged,193.14,2289.0,-2095.86,-581.69,True,True
O00024,P0008,2023-01-24,6,East,Product_8,Home & Kitchen,147.49,260.15,I00039,1242.93,2023-02-12,Unpaid,2023-03-06,Damaged,1560.8999999999999,884.94,675.9599999999998,317.9699999999998,True,True
O00025,P0011,2023-01-25,5,West,Product_11,Home & Kitchen,48.09,722.86,I00053,1853.25,2023-02-26,Unpaid,2023-03-04,Incorrect Item,3614.3,240.45000000000002,3373.8500000000004,1761.0500000000002,True,True
O00028,P0002,2023-01-28,9,East,Product_2,Home & Kitchen,35.27,100.28,I00028,94.33,2023-02-01,Paid,2023-03-08,Late Delivery,902.52,317.43,585.0899999999999,808.1899999999999,False,True
O00029,P0019,2023-01-29,7,South,Product_19,Electronics,387.96,760.44,I00082,4116.76,2023-03-27,Paid,2023-03-09,Late Delivery,5323.08,2715.72,2607.36,1206.3199999999997,False,True
O00030,P0010,2023-01-30,3,West,Product_10,Clothing,387.87,338.09,I00081,2200.64,2023-03-26,Unpaid,2023-03-18,Incorrect Item,1014.27,1163.6100000000001,-149.34000000000015,-1186.37,True,True
O00031,P0017,2023-01-31,5,South,Product_17,Books,31.48,255.91,I00061,4923.44,2023-03-06,Unpaid,2023-03-02,Incorrect Item,1279.55,157.4,1122.1499999999999,-3643.8899999999994,True,True
O00057,P0018,2023-02-26,8,West,Product_18,Books,430.62,236.88,I00013,737.11,2023-01-17,Unpaid,2023-03-03,Damaged,1895.04,3444.96,-1549.92,1157.9299999999998,True,True
O00062,P0010,2023-03-03,6,East,Product_10,Clothing,387.87,338.09,I00073,4695.85,2023-03-18,Unpaid,2023-03-19,Incorrect Item,2028.54,2327.2200000000003,-298.6800000000003,-2667.3100000000004,True,True
O00077,P0014,2023-03-18,5,East,Product_14,Books,349.65,453.93,I00090,1753.87,2023-04-04,Unpaid,2023-03-13,Late Delivery,2269.65,1748.25,521.4000000000001,515.7800000000002,True,True
O00080,P0006,2023-03-21,9,South,Product_6,Electronics,8.55,351.72,,,,,2023-03-20,Late Delivery,3165.4800000000005,76.95,3088.5300000000007,,False,True
O00084,P0006,2023-03-25,5,North,Product_6,Electronics,8.55,351.72,I00045,4423.61,2023-02-18,Unpaid,2023-03-01,Incorrect Item,1758.6000000000001,42.75,1715.8500000000001,-2665.0099999999993,True,True
O00093,P0020,2023-04-03,5,North,Product_20,Home & Kitchen,126.04,750.05,I00011,1776.46,2023-01-15,Overdue,2023-03-12,Late Delivery,3750.25,630.2,3120.05,1973.79,True,True
O00100,P0018,2023-04-10,2,East,Product_18,Books,430.62,236.88,I00032,3559.49,2023-02-05,Paid,2023-03-11,Incorrect Item,473.76,861.24,-387.48,-3085.7299999999996,False,True
