Order_ID,Product_ID,Order_Date,Quantity_Ordered,Order_Region,Product_Name,Category,Unit_Cost,Unit_Price,Invoice_ID,Invoice_Amount,Invoice_Date,Payment_Status,Return_Date,Return_Reason,Expected_Revenue,Total_Cost,Expected_Profit,Revenue_Leak,Payment_Issue,Is_Returned
O00005,P0001,2023-01-05,9,East,Product_1,Home & Kitchen,276.04,306.6,I00054,491.76,2023-02-27,Paid,,,2759.4,2484.36,275.03999999999996,2267.6400000000003,False,False
O00007,P0006,2023-01-07,5,West,Product_6,Electronics,8.55,351.72,I00088,1512.02,2023-04-02,Paid,,,1758.6000000000001,42.75,1715.8500000000001,246.58000000000015,False,False
O00008,P0018,2023-01-08,8,South,Product_18,Books,430.62,236.88,I00075,868.66,2023-03-20,Paid,,,1895.04,3444.96,-1549.92,1026.38,False,False
O00009,P0006,2023-01-09,6,South,Product_6,Electronics,8.55,351.72,I00067,749.96,2023-03-12,Unpaid,,,2110.32,51.300000000000004,2059.02,1360.3600000000001,True,False
O00014,P0020,2023-01-14,2,East,Product_20,Home & Kitchen,126.04,750.05,I00077,1158.66,2023-03-22,Overdue,2023-03-10,Incorrect Item,1500.1,252.08,1248.02,341.4399999999998,True,True
O00015,P0010,2023-01-15,6,East,Product_10,Clothing,387.87,338.09,I00080,770.98,2023-03-25,Unpaid,2023-03-14,Damaged,2028.54,2327.2200000000003,-298.6800000000003,1257.56,True,True
O00016,P0018,2023-01-16,6,East,Product_18,Books,430.62,236.88,I00044,468.29,2023-02-17,Paid,,,1421.28,2583.7200000000003,-1162.4400000000003,952.99,False,False
O00020,P0005,2023-01-20,2,North,Product_5,Home & Kitchen,404.79,639.15,I00025,170.66,2023-01-29,Unpaid,,,1278.3,809.58,468.7199999999999,1107.6399999999999,True,False
O00021,P0014,2023-01-21,6,North,Product_14,Books,349.65,453.93,I00085,1741.67,2023-03-30,Paid,,,2723.58,2097.8999999999996,625.6800000000003,981.9099999999999,False,False
O00023,P0009,2023-01-23,8,North,Product_9,Home & Kitchen,385.42,733.37,I00072,570.38,2023-03-17,Paid,,,5866.96,3083.36,2783.6,5296.58,False,False
O00024,P0008,2023-01-24,6,East,Product_8,Home & Kitchen,147.49,260.15,I00039,1242.93,2023-02-12,Unpaid,2023-03-06,Damaged,1560.8999999999999,884.94,675.9599999999998,317.9699999999998,True,True
O00025,P0011,2023-01-25,5,West,Product_11,Home & Kitchen,48.09,722.86,I00053,1853.25,2023-02-26,Unpaid,2023-03-04,Incorrect Item,3614.3,240.45000000000002,3373.8500000000004,1761.0500000000002,True,True
O00026,P0019,2023-01-26,6,West,Product_19,Electronics,387.96,760.44,I00087,4141.95,2023-04-01,Paid,,,4562.64,2327.7599999999998,2234.8800000000006,420.6900000000005,False,False
